clave;Make;Model;VIN
Acura-RDXBase;Acura;RDXBase;5J8TB3H37DL013759
Acura-RLAutomatic;Acura;RLAutomatic;JH4KA96634C005718
Acura-CLAutomatic;Acura;CLAutomatic;19UYA42491A036676
Acura-TLXSH-AWD;Acura;TLXSH-AWD;19UUB3F53FA007657
Acura-CLType-S;Acura;CLType-S;19UYA427X1A004796
Acura-MDX4WD;Acura;MDX4WD;2HNYD28217H509054
Acura-ZDXAWD;Acura;ZDXAWD;2HNYB1H67AH501647
Acura-RL4dr;Acura;RL4dr;JH4KB16648C004663
Acura-MDXAWD;Acura;MDXAWD;2HNYD2H22AH503027
Acura-TL3.2;Acura;TL3.2;19UUA5670YA039677
Acura-IntegraGS;Acura;IntegraGS;JH4DC446XXS013298
Acura-MDXACURA;Acura;MDXACURA;2HNYD28239H514811
Acura-MDXBase;Acura;MDXBase;2HNYD2H27DH516490
Acura-IntegraLS;Acura;IntegraLS;JH4DC4454WS018955
Acura-MDXFWD;Acura;MDXFWD;5FRYD3H24EB004266
Acura-ZDXBase;Acura;ZDXBase;2HNYB1H63DH500144
Acura-CLManual;Acura;CLManual;19UYA3154XL001187
Acura-MDXwith;Acura;MDXwith;2HNYD2H30DH508062
Acura-RLXwith;Acura;RLXwith;JH4KC1F58EC006772
Acura-RLXBase;Acura;RLXBase;JH4KC1F31EC004036
Acura-MDXSH-AWD;Acura;MDXSH-AWD;5FRYD4H48GB040035
Acura-RLXAutomatic;Acura;RLXAutomatic;JH4KC1F57FC000396
Acura-IntegraRS;Acura;IntegraRS;JH4DC4444WS007445
Acura-MDXAdvance;Acura;MDXAdvance;5FRYD4H9XGB005881
Acura-RLXHybrid;Acura;RLXHybrid;JH4KC2F91EC000269
Acura-MDX3.5L;Acura;MDX3.5L;5FRYD3H88HB001282
Acura-MDXSport;Acura;MDXSport;5FRYD7H70HB000075
Acura-NSXManual;Acura;NSXManual;JH4NA21653T000014
Acura-NSXCoupe;Acura;NSXCoupe;19UNC1B08HY000729
Alfa-Romeo;Alfa;Romeo;ZARFAEBNXH7538923
AM-General;AM;General;137ZA8933XE185788
Aston-Martin;Aston;Martin;SCFBB04B58GD08769
Audi-A44dr;Audi;A44dr;WAUSFAFL1BA115313
Audi-A42dr;Audi;A42dr;WAUAF48H79K009975
Audi-A42007.5;Audi;A42007.5;WAUAF78E47A047125
Audi-A42004;Audi;A42004;WAUAC48H94K021661
Audi-A42.0T;Audi;A42.0T;WAUFFAFL3FN029985
Audi-A45dr;Audi;A45dr;WAUKG78E96A040168
Audi-A42005;Audi;A42005;WAULT68E15A015466
Audi-A42007;Audi;A42007;WAUAF78E07A237228
Audi-A42004.5;Audi;A42004.5;WAULC68E74A268970
Audi-A42005.5;Audi;A42005.5;WAUDG68E15A470603
Audi-A3Sedan;Audi;A3Sedan;WAUACGFF6F1023489
Audi-A34dr;Audi;A34dr;WAUHE78P29A083577
Audi-A64dr;Audi;A64dr;WAUCD64B34N086071
Audi-A52.0T;Audi;A52.0T;WAUCFAFR0DA002772
Audi-A52dr;Audi;A52dr;WAULFAFH6AN008829
Audi-A32.0T;Audi;A32.0T;WAUPEAFM0DA024537
Audi-A4AWD;Audi;A4AWD;WAUBFCFL1CA107208
Audi-A4Premium;Audi;A4Premium;WAUGNAF49HN052013
Audi-A4ultra;Audi;A4ultra;WAUGMAF49HA076788
Audi-A62.0T;Audi;A62.0T;WAUFFAFC9FN003956
Audi-A3Cabriolet;Audi;A3Cabriolet;WAU6CLFF8F1034895
Audi-S3Premium;Audi;S3Premium;WAUBFGFF3F1011831
Audi-A63.0T;Audi;A63.0T;WAUGGAFC1DN029403
Audi-S44dr;Audi;S44dr;WAUPL68E54A180176
Audi-A84dr;Audi;A84dr;WAULV44E07N015815
Audi-S42dr;Audi;S42dr;WUARL48H05K900573
Audi-Q5quattro;Audi;Q5quattro;WA1LFAFP9CA098525
Audi-A4Season;Audi;A4Season;WAUDNAF47HN040879
Audi-A3;Audi;A3;WAUAUGFFXH1049108
Audi-S42007;Audi;S42007;WAUGL78E87A210037
Audi-Q7quattro;Audi;Q7quattro;WA1AY74L68D054959
Audi-A8;Audi;A8;WAUML44E74N008771
Audi-Q52.0T;Audi;Q52.0T;WA1CFAFP6DA094384
Audi-TTS2dr;Audi;TTS2dr;TRUB1AFK8A1015271
Audi-S45dr;Audi;S45dr;WAUUL78E56A207808
Audi-TT2dr;Audi;TT2dr;TRUWT28N621009656
Audi-allroad5dr;Audi;allroad5dr;WA1YL64B04N096787
Audi-S42005.5;Audi;S42005.5;WAUGL78E15A526568
Audi-S4quattro;Audi;S4quattro;WAUBGAFL1DA049815
Audi-S42007.5;Audi;S42007.5;WAUGL78E37A188416
Audi-Q3FrontTrak;Audi;Q3FrontTrak;WA1BCCFS3HR011781
Audi-Q53.0T;Audi;Q53.0T;WA1DGAFP2DA069516
Audi-Q3quattro;Audi;Q3quattro;WA1EFCFS1FR002997
Audi-allroad2.0T;Audi;allroad2.0T;WA1TFAFL3EA029801
Audi-S84dr;Audi;S84dr;WAUPN44E47N024647
Audi-Q3Premium;Audi;Q3Premium;WA1BCCFSXJR002629
Audi-A63.0TDI;Audi;A63.0TDI;WAUFMAFC7EN037298
Audi-Q73.0T;Audi;Q73.0T;WA1CGAFE2DD002438
Audi-Q52.0;Audi;Q52.0;WA1C2AFPXHA086595
Audi-TTSCoupe;Audi;TTSCoupe;TRUK1AFK2D1005680
Audi-S52dr;Audi;S52dr;WAUCGAFH7BN003122
Audi-S3Prestige;Audi;S3Prestige;WAUFFGFF7F1058121
Audi-Q53.2L;Audi;Q53.2L;WA1MKCFP6CA062545
Audi-A4Prestige;Audi;A4Prestige;WAUFNAF4XHN037564
Audi-RS64dr;Audi;RS64dr;WUAPV64BX3N904981
Audi-A6CERTIFIED;Audi;A6CERTIFIED;WAUFFAFC0GN140429
Audi-TT180hp;Audi;TT180hp;TRUWX28NX11046213
Audi-S64dr;Audi;S64dr;WAUGN74F67N085377
Audi-TTCoupe;Audi;TTCoupe;TRUBFAFK0E1001243
Audi-A5;Audi;A5;WAUD2AFRXHA001411
Audi-A62016;Audi;A62016;WAUGFAFC5GN043263
Audi-SQ5quattro;Audi;SQ5quattro;WA1CGAFP7EA032149
Audi-S3quattro;Audi;S3quattro;WAUB1GFF3G1061063
Audi-TT3.2L;Audi;TT3.2L;TRURD38J881003363
Audi-RS44dr;Audi;RS44dr;WUARU78E17N902256
Audi-TTRoadster;Audi;TTRoadster;TRUSFAFK7E1000302
Audi-S5Coupe;Audi;S5Coupe;WAUGGAFR9EA047418
Audi-RS42dr;Audi;RS42dr;WUAYU48H08K800325
Audi-Q53.0TDI;Audi;Q53.0TDI;WA1CMAFP1EA043978
Audi-Q53.0;Audi;Q53.0;WA1D7AFP0HA039422
Audi-Q5Premium;Audi;Q5Premium;WA1ANAFY9J2008462
Audi-S5Cabriolet;Audi;S5Cabriolet;WAUCGAFH8DN011930
Audi-A73.0T;Audi;A73.0T;WAU2GAFC9DN075006
Audi-TTSS;Audi;TTSS;TRUC1AFV9G1010751
Audi-TT;Audi;TT;TRUC5AFV2H1003548
Audi-SQ5Premium;Audi;SQ5Premium;WA1CCAFP1GA049768
Audi-A83.0T;Audi;A83.0T;WAUAGAFD6DN008447
Audi-A74dr;Audi;A74dr;WAUSGAFC4CN004469
Audi-Q73.0TDI;Audi;Q73.0TDI;WA1CMAFE1ED003459
Audi-TTSRoadster;Audi;TTSRoadster;TRUS1AFK3D1016817
Audi-S6quattro;Audi;S6quattro;WAUF2AFC7EN052843
Audi-A84.0T;Audi;A84.0T;WAUA2AFD9DN016024
Audi-S7quattro;Audi;S7quattro;WAU32BFC2DN143459
Audi-S5;Audi;S5;WAUC4AFR2HA001487
Audi-TTS2.0;Audi;TTS2.0;TRUC1AFV8H1007213
Audi-A6Premium;Audi;A6Premium;WAUC8AFC7JN012600
Audi-allroadPremium;Audi;allroadPremium;WA17NAF44HA094657
Audi-Q72.0T;Audi;Q72.0T;WA1AHAF72HD041137
Audi-RS;Audi;RS;WUAC6AFR6DA901271
Audi-A84.2L;Audi;A84.2L;WAUCVAFD1CN025640
Audi-S4Premium;Audi;S4Premium;WAUB4AF47JA002706
Audi-SQ5Prestige;Audi;SQ5Prestige;WA1VCBFP4GA041758
Audi-S8quattro;Audi;S8quattro;WAUD2AFD4EN011473
Audi-A73.0TDI;Audi;A73.0TDI;WAU2MAFC7EN161781
Audi-S6Premium;Audi;S6Premium;WAUF2AFC2GN009949
Audi-Q73.0;Audi;Q73.0;WA1AAAF70JD008163
Audi-S6Prestige;Audi;S6Prestige;WAUH2AFC8GN032435
Audi-allroadPrestige;Audi;allroadPrestige;WA19NAF46HA077108
Audi-A7Premium;Audi;A7Premium;WAUW2BFC3HN014651
Audi-A7Prestige;Audi;A7Prestige;WAU22BFC5HN022636
Audi-A7Competition;Audi;A7Competition;WAUW3AFC0HN013724
Audi-R82dr;Audi;R82dr;WUAAU34248N004656
Audi-S7Premium;Audi;S7Premium;WAUWFBFC0HN075296
Audi-S7Prestige;Audi;S7Prestige;WAU2FAFC5HN071009
Audi-S8Sedan;Audi;S8Sedan;WAUJSAFD8GN001390
Audi-S4Prestige;Audi;S4Prestige;WAUC4AF47JA020398
Audi-R84.2FSI;Audi;R84.2FSI;WUAAUAFG3EN002387
Audi-S8Plus;Audi;S8Plus;WUAJ5AFD1GN900251
Audi-R85.2;Audi;R85.2;WUAANAFGXAN000546
Audi-S8;Audi;S8;WUAJ5AFD6HN901073
Audi-R85.2FSI;Audi;R85.2FSI;WUAVNAFG1EN000409
Audi-R8Auto;Audi;R8Auto;WUAANAFG8F7001965
Audi-R8;Audi;R8;WUAEAAFX8H7901376
Bentley-Continental;Bentley;Continental;SCBBR53W56C033890
Bentley-Arnage4dr;Bentley;Arnage4dr;SCBLC31E02CX08057
Bentley-Continental2dr;Bentley;Continental2dr;SCBCR63W95C027924
Bentley-Azure2dr;Bentley;Azure2dr;SCBZK25E92CX01044
Bentley-Brooklands2dr;Bentley;Brooklands2dr;SCBCC41N59CX13786
Bentley-Flying;Bentley;Flying;SCBEC9ZA2EC096221
Bentley-Mulsanne4dr;Bentley;Mulsanne4dr;SCBBB7ZH2BC015706
Bentley-MulsanneBase;Bentley;MulsanneBase;SCBBA63Y8BC015201
Bentley-MulsanneSedan;Bentley;MulsanneSedan;SCBBB7ZH9CC016790
Bentley-ContinentalGT;Bentley;ContinentalGT;SCBFH7ZA0HC060560
Bentley-BentaygaW12;Bentley;BentaygaW12;SJAAC2ZV9HC014402
Bentley-MulsanneSpeed;Bentley;MulsanneSpeed;SCBBG7ZH5GC001999
BMW-3;BMW;3;WBAPH5G52BNM82026
BMW-X1sDrive28i;BMW;X1sDrive28i;WBAVM1C58EVW54873
BMW-5;BMW;5;WBAFR1C58BC738835
BMW-X1xDrive28i;BMW;X1xDrive28i;WBAVL1C53FVY36498
BMW-1;BMW;1;WBAUP7C56CVP22994
BMW-i3Hatchback;BMW;i3Hatchback;WBY1Z2C50EV285465
BMW-X3AWD;BMW;X3AWD;WBXPC9C41AWJ33621
BMW-X1xDrive35i;BMW;X1xDrive35i;WBAVM5C51DVV90861
BMW-X3xDrive28i;BMW;X3xDrive28i;5UXWX9C59D0A20756
BMW-X1xDrive;BMW;X1xDrive;WBXHT3C31GP886402
BMW-X5AWD;BMW;X5AWD;5UXFA13566LY39693
BMW-7;BMW;7;WBAHN83578DT83804
BMW-X3sDrive28i;BMW;X3sDrive28i;5UXWZ7C57F0F75769
BMW-X3xDrive35i;BMW;X3xDrive35i;5UXWX7C56DL977362
BMW-2;BMW;2;WBA1F5C59EVV99155
BMW-Z4Roadster;BMW;Z4Roadster;4USBT53584LU07485
BMW-X5xDrive35i;BMW;X5xDrive35i;5UXZV4C57D0B07738
BMW-X5;BMW;X5;5UXFE4L59AL382389
BMW-X1Sports;BMW;X1Sports;WBXHT3Z31H4A53986
BMW-6;BMW;6;WBAEH73454B189712
BMW-Z42dr;BMW;Z42dr;4USBU33597LW59817
BMW-X1AWD;BMW;X1AWD;WBXHT3Z39G4A49974
BMW-Z3Roadster;BMW;Z3Roadster;WBACH9340YLF90798
BMW-4;BMW;4;WBA3N7C51EK220643
BMW-X5xDrive50i;BMW;X5xDrive50i;5UXZV8C55D0C15993
BMW-X3xDrive28d;BMW;X3xDrive28d;5UXWY3C57F0E95061
BMW-X5xDrive35d;BMW;X5xDrive35d;5UXZW0C56D0B94148
BMW-X4xDrive28i;BMW;X4xDrive28i;5UXXW3C50F0M87889
BMW-X6AWD;BMW;X6AWD;5UXFG83599LZ93892
BMW-Z4Coupe;BMW;Z4Coupe;4USDU534X6LF77091
BMW-i394;BMW;i394;WBY1Z8C55HV889214
BMW-X5sDrive35i;BMW;X5sDrive35i;5UXKR2C52E0H32690
BMW-Z3Z3;BMW;Z3Z3;WBSCK9334XLC88644
BMW-X535i;BMW;X535i;5UXZW0C58CL671494
BMW-Z4sDrive28i;BMW;Z4sDrive28i;WBALL5C56DJ103736
BMW-Z4sDrive35i;BMW;Z4sDrive35i;WBALM7C57DE385290
BMW-Z4Z4;BMW;Z4Z4;5UMBT93516LE89283
BMW-X4xDrive35i;BMW;X4xDrive35i;5UXXW5C52F0E87228
BMW-X6;BMW;X6;5YMGZ0C52BLK13827
BMW-X6xDrive35i;BMW;X6xDrive35i;5UXFG2C52DL786637
BMW-Z3Coupe;BMW;Z3Coupe;4USCK5343YLG12266
BMW-X6xDrive50i;BMW;X6xDrive50i;5UXFG8C52DL590880
BMW-M34dr;BMW;M34dr;WBSPM935X9E201718
BMW-M32dr;BMW;M32dr;WBSKG9C55BE645824
BMW-M62dr;BMW;M62dr;WBSEH93579CY25029
BMW-M54dr;BMW;M54dr;WBSNB9C57AC043271
BMW-Z4sDrive35is;BMW;Z4sDrive35is;WBALM1C59CE633650
BMW-M3M3;BMW;M3M3;WBSDX9C54CE784515
BMW-M3Convertible;BMW;M3Convertible;WBSDX9C5XDE785802
BMW-X4xDriveM40i;BMW;X4xDriveM40i;5UXXW7C56H0U25679
BMW-8;BMW;8;WBAEF8326VCC31619
BMW-X6sDrive35i;BMW;X6sDrive35i;5UXKU0C57F0F91619
BMW-M3Coupe;BMW;M3Coupe;WBSKG9C59DJ594757
BMW-M5Sedan;BMW;M5Sedan;WBSFV9C59ED097313
BMW-M4Coupe;BMW;M4Coupe;WBS3R9C51FK331710
BMW-M2Coupe;BMW;M2Coupe;WBS1H9C37HV888079
BMW-X5xDrive40e;BMW;X5xDrive40e;5UXKT0C32H0V95773
BMW-X4M40i;BMW;X4M40i;5UXXW7C57J0W64261
BMW-M6Convertible;BMW;M6Convertible;WBSLZ9C53DDZ78174
BMW-M6M6;BMW;M6M6;WBSLZ9C54CC985526
BMW-M3Sedan;BMW;M3Sedan;WBS3C9C57FP805289
BMW-M4Convertible;BMW;M4Convertible;WBS3U9C56FP967539
BMW-M6Coupe;BMW;M6Coupe;WBSLX9C55DD159771
Buick-Verano1SD;Buick;Verano1SD;1G4PP5SK2G4107698
Buick-VeranoBase;Buick;VeranoBase;1G4P15SK1G4149118
Buick-VeranoSport;Buick;VeranoSport;1G4PW5SKXG4156862
Buick-VeranoConvenience;Buick;VeranoConvenience;1G4PR5SK6F4194353
Buick-VeranoVerano;Buick;VeranoVerano;1G4PP5SK1E4211239
Buick-Verano4dr;Buick;Verano4dr;1G4PS5SK6C4143998
Buick-VeranoLeather;Buick;VeranoLeather;1G4PS5SK5G4143190
Buick-Rendezvous4dr;Buick;Rendezvous4dr;3G5DB03LX6S553748
Buick-Verano1SV;Buick;Verano1SV;1G4PV5SK5G4141592
Buick-RendezvousFWD;Buick;RendezvousFWD;3G5DA03L37S500071
Buick-Verano;Buick;Verano;1G4P15SK4G4103976
Buick-VeranoPremium;Buick;VeranoPremium;1G4PT5SV0D4134478
Buick-VeranoTurbo;Buick;VeranoTurbo;1G4PT5SV8F4102395
Buick-RendezvousCX;Buick;RendezvousCX;3G5DA03E73S541752
Buick-RendezvousCXL;Buick;RendezvousCXL;3G5DA03E63S551088
Buick-VeranoFWD;Buick;VeranoFWD;1G4PN5SK6E4157894
Buick-Terraza4dr;Buick;Terraza4dr;5GADX33L56D131254
Buick-EncoreFWD;Buick;EncoreFWD;KL4CJASB4FB052527
Buick-EncoreConvenience;Buick;EncoreConvenience;KL4CJBSB8FB268175
Buick-EncoreLeather;Buick;EncoreLeather;KL4CJCSB4FB047307
Buick-EncorePremium;Buick;EncorePremium;KL4CJDSB3FB100049
Buick-EncoreEncore;Buick;EncoreEncore;KL4CJASB5DB076381
Buick-EncoreAWD;Buick;EncoreAWD;KL4CJESB9GB727958
Buick-EncoreSport;Buick;EncoreSport;KL4CJ2SM7GB533512
Buick-LaCrosse4dr;Buick;LaCrosse4dr;2G4WC582271244621
Buick-LaCrosseFWD;Buick;LaCrosseFWD;1G4G15G3XGF140259
Buick-Lucerne4dr;Buick;Lucerne4dr;1G4HD571X9U103124
Buick-LaCrosseAWD;Buick;LaCrosseAWD;1G4GE5E30CF263859
Buick-Regal4dr;Buick;Regal4dr;W04GN5ECXB1006718
Buick-Skylark4dr;Buick;Skylark4dr;1G4NJ52M6VC411131
Buick-Encore;Buick;Encore;KL4CJAS87BG596926
Buick-RegalTurbo;Buick;RegalTurbo;2G4GS5EV5C9214725
Buick-RegalPremium;Buick;RegalPremium;2G4GN5EX4E9257772
Buick-RegalSport;Buick;RegalSport;2G4GL5EX3H9108926
Buick-RegalBase;Buick;RegalBase;2G4GR5EK0C9156055
Buick-RegalRegal;Buick;RegalRegal;2G4GR5ER2D9237251
Buick-LaCrosseLeather;Buick;LaCrosseLeather;1G4GC5E37DF124173
Buick-Rainier4dr;Buick;Rainier4dr;5GAET13M762159789
Buick-VeranoSedan;Buick;VeranoSedan;1G4P15SK7G4131822
Buick-LeSabre4dr;Buick;LeSabre4dr;1G4HP52K844170725
Buick-RegalFWD;Buick;RegalFWD;2G4G25EKXG9156980
Buick-LaCrosseCXL;Buick;LaCrosseCXL;1G4GK5EG9AF236426
Buick-Regal;Buick;Regal;2G4GV5EK8F9215420
Buick-Regal1FL;Buick;Regal1FL;2G4GV5EK5E9302304
Buick-RegalGS;Buick;RegalGS;2G4GV5GV5C9178720
Buick-CascadaPremium;Buick;CascadaPremium;W04WT3N52GG055200
Buick-RegalSedan;Buick;RegalSedan;2G4GV5EK8F9238003
Buick-RainierRWD;Buick;RainierRWD;5GADS13S972110270
Buick-EnclaveFWD;Buick;EnclaveFWD;5GALRAED8AJ152139
Buick-RegalBARGAIN;Buick;RegalBARGAIN;2G4GV5EK8E9291900
Buick-RegalFleet;Buick;RegalFleet;2G4GV5EKXF9128537
Buick-RainierAWD;Buick;RainierAWD;5GAET13M572140921
Buick-EnclaveAWD;Buick;EnclaveAWD;5GAKVAED9BJ138680
Buick-EnclaveConvenience;Buick;EnclaveConvenience;5GAKRBED3CJ226376
Buick-Riviera2dr;Buick;Riviera2dr;1G4GD221XV4716730
Buick-Century4dr;Buick;Century4dr;2G4WS52J441228662
Buick-EnclaveLeather;Buick;EnclaveLeather;5GAKRCED0CJ403357
Buick-EnvisionFWD;Buick;EnvisionFWD;LRBFXBSA0HD091135
Buick-EnclaveBase;Buick;EnclaveBase;5GAKRAED7CJ286445
Buick-EnvisionAWD;Buick;EnvisionAWD;LRBFXDSAXHD096709
Buick-EnvisionPremium;Buick;EnvisionPremium;LRBFXESX5GD158736
Buick-EnclavePremium;Buick;EnclavePremium;5GAKRDED7CJ289430
Buick-CascadaConvertible;Buick;CascadaConvertible;W04WV3N52GG047172
Buick-CascadaSport;Buick;CascadaSport;W04WJ3N50HG004687
Buick-Park;Buick;Park;1G4CU541324214926
Buick-CenturyCustom;Buick;CenturyCustom;2G4WY55JXY1310928
Buick-LeSabreLimited;Buick;LeSabreLimited;1G4HR54K9YU162677
Buick-LaCrossePremium;Buick;LaCrossePremium;G4GD5G33GF1167332
Buick-Regal97.5;Buick;Regal97.5;2G4WB52K1V1479374
Cadillac-CTS4dr;Cadillac;CTS4dr;1G6DP577770107119
Cadillac-ATS2.5L;Cadillac;ATS2.5L;1G6AA5RAXD0133674
Cadillac-ATS2.0L;Cadillac;ATS2.0L;1G6AA5RX5E0124774
Cadillac-CTS;Cadillac;CTS;1G6DE8EG2A0123424
Cadillac-ATS3.6L;Cadillac;ATS3.6L;1G6AB5S3XE0100166
Cadillac-STS4dr;Cadillac;STS4dr;1G6DW67VX80134291
Cadillac-SRXRWD;Cadillac;SRXRWD;1GYEE637590105210
Cadillac-ATS;Cadillac;ATS;1G6AA1RX2F0118554
Cadillac-DTS4dr;Cadillac;DTS4dr;1G6KD57Y87U226265
Cadillac-SRX4dr;Cadillac;SRX4dr;1GYEE637750136808
Cadillac-SRXAWD;Cadillac;SRXAWD;1GYEE437490147307
Cadillac-Seville4dr;Cadillac;Seville4dr;1G6KS54Y13U172134
Cadillac-DeVille4dr;Cadillac;DeVille4dr;1G6KD54Y74U108871
Cadillac-SRXFWD;Cadillac;SRXFWD;3GYFNGE34CS649928
Cadillac-SRXBase;Cadillac;SRXBase;3GYFNAE33ES685609
Cadillac-Catera4dr;Cadillac;Catera4dr;W06VR54R41R066163
Cadillac-SRXLuxury;Cadillac;SRXLuxury;3GYFNCE30DS515704
Cadillac-DeVille;Cadillac;DeVille;1G6KF5798YU193014
Cadillac-XLR2dr;Cadillac;XLR2dr;1G6YV34A955602370
Cadillac-SRXStandard;Cadillac;SRXStandard;3GYFNAE30GS535217
Cadillac-DeVilleBase;Cadillac;DeVilleBase;1GEEH90Y93U550388
Cadillac-SRXPerformance;Cadillac;SRXPerformance;3GYFNDE34DS562711
Cadillac-SRXPremium;Cadillac;SRXPremium;3GYFNEE38DS578450
Cadillac-DeVilleSedan;Cadillac;DeVilleSedan;1GEEH90Y52U550628
Cadillac-d'Elegance4dr;Cadillac;d'Elegance4dr;1G6KE54Y3XU728067
Cadillac-Concours4dr;Cadillac;Concours4dr;1G6KF5498VU246858
Cadillac-DeVille4d;Cadillac;DeVille4d;1GEEH90Y5XU550250
Cadillac-SRXLeather;Cadillac;SRXLeather;3GYFNFE3XDS614483
Cadillac-XT5Standard;Cadillac;XT5Standard;1GYKNARS9HZ106615
Cadillac-SRX3.6;Cadillac;SRX3.6;3GYFNBE38DS569827
Cadillac-STS-V4dr;Cadillac;STS-V4dr;1G6DX67D470147945
Cadillac-XTSLuxury;Cadillac;XTSLuxury;2G61P5S30D9119315
Cadillac-XTSBase;Cadillac;XTSBase;2G61N5S35D9179659
Cadillac-Eldorado2dr;Cadillac;Eldorado2dr;1G6EL12Y0YU185132
Cadillac-Escalade;Cadillac;Escalade;3GYEK62N85G133842
Cadillac-XTSFWD;Cadillac;XTSFWD;2G61L5S39E9241149
Cadillac-STS-VSTS-V;Cadillac;STS-VSTS-V;1G6DX67D160204973
Cadillac-Escalade4dr;Cadillac;Escalade4dr;1GYEK63N94R192198
Cadillac-CTS-VCTS-V;Cadillac;CTS-VCTS-V;1G6DN57S540149505
Cadillac-XTS3.6L;Cadillac;XTS3.6L;2G61U5S34E9161058
Cadillac-ELRCoupe;Cadillac;ELRCoupe;1G6RM1E40EU600386
Cadillac-XTSPremium;Cadillac;XTSPremium;2G61T5S30D9135414
Cadillac-XTSPlatinum;Cadillac;XTSPlatinum;2G61U5S32D9101276
Cadillac-XT5Luxury;Cadillac;XT5Luxury;1GYKNBRS0HZ158396
Cadillac-XTSAWD;Cadillac;XTSAWD;2G61N5S3XG9129943
Cadillac-EscaladeAWD;Cadillac;EscaladeAWD;1GYFK63807R123242
Cadillac-CTS-V4dr;Cadillac;CTS-V4dr;1G6DN57U170162192
Cadillac-XTSVsport;Cadillac;XTSVsport;2G61V5S87E9134705
Cadillac-Escalade2WD;Cadillac;Escalade2WD;1GYEC63858R215103
Cadillac-XTS;Cadillac;XTS;2G6AS5S38D9108240
Cadillac-XLR-VXLR-V;Cadillac;XLR-VXLR-V;1G6YX36D765603634
Cadillac-CT6;Cadillac;CT6;1G6KA5RX5GU132244
Cadillac-XT5Premium;Cadillac;XT5Premium;1GYKNERS6HZ143323
Cadillac-EscaladeRWD;Cadillac;EscaladeRWD;1GYS3AEFXCR294827
Cadillac-XT5Platinum;Cadillac;XT5Platinum;1GYKNFRS6HZ116080
Cadillac-ATS-V;Cadillac;ATS-V;1G6AN1RY6G0161714
Cadillac-CTS-V;Cadillac;CTS-V;1G6DV5EPXB0127785
Cadillac-XLR-V2dr;Cadillac;XLR-V2dr;1G6YX36D875601411
Cadillac-EscaladeLuxury;Cadillac;EscaladeLuxury;1GYS3BEF1DR172400
Cadillac-EscaladePremium;Cadillac;EscaladePremium;1GYS4CEF4DR110508
Cadillac-EscaladePlatinum;Cadillac;EscaladePlatinum;1GYS4DEF4DR296301
Cadillac-EscaladeBase;Cadillac;EscaladeBase;1GYS3AEFXDR275938
Cadillac-XTSTurbo;Cadillac;XTSTurbo;2G61W5S87G9141315
Cadillac-XT5FWD;Cadillac;XT5FWD;1GYKNARSXJZ100943
Cadillac-Escalade4WD;Cadillac;Escalade4WD;1GYS4NKJ4FR585826
Chevrolet-CruzeSedan;Chevrolet;CruzeSedan;1G1BC5SM1H7150479
